"building.class.category","sale.price.n","gross.sqft","land.sqft","year.built"
"2 Two Dwelling",875.5,3630,2250,1899
"2 Two Dwelling",1050,2520,2000,1899
"2 Two Dwelling",915,2520,2000,1899
"2 Two Dwelling",930,2200,1600,1899
"2 Two Dwelling",900,3540,1967,1899
"2 Two Dwelling",865,1400,1667,1899
"2 Two Dwelling",710,1400,1667,1899
"2 Two Dwelling",1340,2400,2000,1899
"2 Two Dwelling",880,1680,2000,1990
"2 Two Dwelling",600,1575,1642,1899
"2 Two Dwelling",1327,1912,1875,1905
"2 Two Dwelling",285,1912,1875,1905
"2 Two Dwelling",835,2598,1925,1899
"2 Two Dwelling",330,2400,1700,1910
"2 Two Dwelling",1595,2700,1700,1910
"2 Two Dwelling",680,2142,1700,1901
"2 Two Dwelling",1045,2520,2000,1905
"2 Two Dwelling",750,2268,1800,1899
"2 Two Dwelling",650,2394,1900,1899
"2 Two Dwelling",1410,2364,1750,1899
"2 Two Dwelling",500,2283,1742,1899
"2 Two Dwelling",900,2160,3669,1899
"2 Two Dwelling",1385,3024,1800,1899
"2 Two Dwelling",1100,1900,2000,1899
"2 Two Dwelling",950,2980,2000,2005
"2 Two Dwelling",900,2001,1667,1899
"2 Two Dwelling",650,2700,2500,1899
"2 Two Dwelling",1,1750,2500,1915
"2 Two Dwelling",910,2301,1917,1899
"2 Two Dwelling",835,2364,1875,1905
"2 Two Dwelling",1295,2907,1694,1905
"2 Two Dwelling",830,2800,2000,1915
"2 Two Dwelling",920,2880,2000,1995
"2 Two Dwelling",885,2700,2000,1899
"2 Two Dwelling",115,2700,2000,1899
"2 Two Dwelling",130,2700,2000,1899
"2 Two Dwelling",130,2700,2000,1899
"2 Two Dwelling",890,2700,2000,1899
"2 Two Dwelling",1790,2700,2000,1899
"2 Two Dwelling",871.252,1980,2500,1899
"2 Two Dwelling",870,2666,2750,1910
"2 Two Dwelling",720,2280,1900,1899
"2 Two Dwelling",1425,3600,2000,1901
"2 Two Dwelling",900,2700,2000,1901
"2 Two Dwelling",875,2100,1667,1899
"2 Two Dwelling",1112.7,2160,1800,1899
"2 Two Dwelling",810,2001,1667,1899
"2 Two Dwelling",695,1377,1433,1899
"2 Two Dwelling",1350,2400,2000,1899
"2 Two Dwelling",1400,2394,1900,1901
"2 Two Dwelling",999,2184,1733,1905
"2 Two Dwelling",1250,2655,1700,1892
"2 Two Dwelling",800,2700,2000,1899
"2 Two Dwelling",800,3360,2000,1901
"2 Two Dwelling",1485,3420,1900,1899
"2 Two Dwelling",765,1878,1700,1899
"2 Two Dwelling",1325,2640,1950,1899
"2 Two Dwelling",760,3252,1850,1899
"2 Two Dwelling",1230,2352,1800,1899
"2 Two Dwelling",840,2160,1800,2005
"2 Two Dwelling",1135,2664,2000,1901
"2 Two Dwelling",850,2040,2500,1899
"2 Two Dwelling",560,2256,1800,1899
"2 Two Dwelling",1195,2400,2000,1899
"2 Two Dwelling",1050,2400,2000,1899
"2 Two Dwelling",280,2400,2000,1899
"2 Two Dwelling",985,2100,2000,1899
"2 Two Dwelling",1195,2019,1417,1901
"2 Two Dwelling",788.437,2136,1400,1899
"2 Two Dwelling",1100,2880,1728,1899
"2 Two Dwelling",1500,2040,1783,1899
"2 Two Dwelling",999,2741,1950,1899
"2 Two Dwelling",975,2544,1750,1899
"2 Two Dwelling",1400,2728,1667,1899
"2 Two Dwelling",900,2728,1667,1899
"2 Two Dwelling",1200,2208,1667,1899
"2 Two Dwelling",999,2551,1428,1927
"2 Two Dwelling",876,1685,1667,2007
"2 Two Dwelling",841.074,1680,1600,1901
"2 Two Dwelling",700,1680,1600,1901
"2 Two Dwelling",1130,2376,1520,1899
"2 Two Dwelling",1187.5,2256,1800,1899
"2 Two Dwelling",1225,2952,2000,1899
"2 Two Dwelling",1475,2890,1633,1899
"2 Two Dwelling",951.5,1920,1667,1899
"2 Two Dwelling",525,1920,1667,1899
"2 Two Dwelling",1710,2600,2000,1899
"2 Two Dwelling",1620,2472,1640,1899
"2 Two Dwelling",1600,2394,1875,1899
"2 Two Dwelling",1507.825,3240,1800,1910
"2 Two Dwelling",1200,2364,1800,1899
"2 Two Dwelling",1200,3600,2000,1899
"2 Two Dwelling",975,2364,1875,1899
"2 Two Dwelling",930,2512,1975,1899
"2 Two Dwelling",880,1878,3440,1899
"2 Two Dwelling",1650,3352,1800,1899
"2 Two Dwelling",920,2466,1917,1899
"2 Two Dwelling",890,2376,1800,1901
"2 Two Dwelling",990,2214,1750,1901
"2 Two Dwelling",1850,3600,2000,1899
"2 Two Dwelling",525,1776,2000,1901
"2 Two Dwelling",1595,3384,1800,1899
"2 Two Dwelling",1175,2382,1767,1899
"2 Two Dwelling",1775,2310,1833,1899
"2 Two Dwelling",1038,1996,2000,1899
"2 Two Dwelling",1175,2544,1667,1901
"2 Two Dwelling",1300,1968,1650,1899
"2 Two Dwelling",2266,3664,2000,1899
"2 Two Dwelling",1385,2664,1808,1899
"2 Two Dwelling",975,2664,1800,1899
"2 Two Dwelling",825,2480,2000,1899
"2 Two Dwelling",500,2360,2000,1899
"2 Two Dwelling",940,2260,2000,1899
"2 Two Dwelling",1145,2304,2350,1901
"2 Two Dwelling",1060,3572,1463,1901
"2 Two Dwelling",1500,2448,4967,1899
"2 Two Dwelling",1230,2556,1840,1899
"2 Two Dwelling",870,2478,1900,1899
"2 Two Dwelling",825,2504,3642,1927
"2 Two Dwelling",750,1840,2000,1901
"2 Two Dwelling",625,2616,1540,1901
"2 Two Dwelling",550,1600,1667,1899
"2 Two Dwelling",819.163,1600,1667,1899
"2 Two Dwelling",999.5,1920,2000,1901
"2 Two Dwelling",915,1680,1372,1901
"2 Two Dwelling",830,1350,2058,1901
"2 Two Dwelling",660,1671,1346,1901
"2 Two Dwelling",350,1673,1346,1901
"2 Two Dwelling",260,1673,1346,1901
"2 Two Dwelling",760,2565,979,1901
"2 Two Dwelling",164,1680,1577,1901
"2 Two Dwelling",190,1168,1567,1901
"2 Two Dwelling",645,1144,1535,1901
"2 Two Dwelling",870,2070,1610,1901
"2 Two Dwelling",680,1944,1983,1992
"2 Two Dwelling",850,1960,2233,1993
"2 Two Dwelling",310,2010,2050,1995
"2 Two Dwelling",850,2160,1000,1910
"2 Two Dwelling",550,2239,1875,1910
"2 Two Dwelling",253.5,2532,1875,1899
"2 Two Dwelling",1275,2532,1875,1899
"2 Two Dwelling",940,2490,1975,1899
